String,Trigger
Turn on the lights,#LIGHTS_ON
Switch on the light,#LIGHTS_ON
Bring the lights on,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Turn the lights on,#LIGHTS_ON
Switch the light on,#LIGHTS_ON
Turn on the bulb,#LIGHTS_ON
Light up the bulb,#LIGHTS_ON
Turn the bulb on,#LIGHTS_ON
Switch on the bulb,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring the bulb on up,#LIGHTS_ON
Lights in,#LIGHTS_ON
Light up,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Bulb on,#LIGHTS_ON
Bulbs on,#LIGHTS_ON
Put on the lights,#LIGHTS_ON
Please switch on the lights,#LIGHTS_ON
Switch on the lights,#LIGHTS_ON
On the lights,#LIGHTS_ON
Turn on the lights,#LIGHTS_ON
Get the lights,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Switch the lights on will you,#LIGHTS_ON
Turn lights on,#LIGHTS_ON
Lights on,#LIGHTS_ON
Turn on the lights,#LIGHTS_ON
Brighten the light to full,#LIGHTS_ON
Lights,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I desire to wake up,#LIGHTS_ON
I must wake up now,#LIGHTS_ON
I should wake up now,#LIGHTS_ON
I would like to wake now,#LIGHTS_ON
I fancy to wake up now,#LIGHTS_ON
I need to rise now,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
It is work time now,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
Shut on the lights,#LIGHTS_ON
Put up the lights,#LIGHTS_ON
Plug on the lights,#LIGHTS_ON
Turn on the lights,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Brighten the room,#LIGHTS_ON
Activate the lightings,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
Turn on the lights,#LIGHTS_ON
start lights,#LIGHTS_ON
on light,#LIGHTS_ON
Turn off the lights,#LIGHTS_OFF
Switch off the light,#LIGHTS_OFF
Bring down the lights,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
Get the lights switched off,#LIGHTS_OFF
Turn the lights off,#LIGHTS_OFF
Switch the light off,#LIGHTS_OFF
Turn off the bulb,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Turn the bulb off,#LIGHTS_OFF
Switch off the bulb,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Lights out,#LIGHTS_OFF
Bulbs off,#LIGHTS_OFF
Lights off,#LIGHTS_OFF
Light off,#LIGHTS_OFF
Bulb off,#LIGHTS_OFF
Please switch off the lights,#LIGHTS_OFF
Switch off the lights,#LIGHTS_OFF
Off the lights,#LIGHTS_OFF
Put off the lights,#LIGHTS_OFF
Turn off the lights,#LIGHTS_OFF
Dim the lights,#LIGHTS_OFF
Turn off the lights,#LIGHTS_OFF
Turn lights off,#LIGHTS_OFF
Lights off,#LIGHTS_OFF
Turn off the lights,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Turn off lights,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I need to sleep,#LIGHTS_OFF
I desire to sleep,#LIGHTS_OFF
I must sleep now,#LIGHTS_OFF
I should sleep now,#LIGHTS_OFF
I would like to sleep now,#LIGHTS_OFF
I fancy sleeping now,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need a nap,#LIGHTS_OFF
I need to doze off,#LIGHTS_OFF
I need a power nap,#LIGHTS_OFF
Shut off the lights,#LIGHTS_OFF
Put down the lights,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Turn out the light,#LIGHTS_OFF
Turn on the fan,#FAN_ON
Switch on the fan,#FAN_ON
Spin the fan,#FAN_ON
Start the fan,#FAN_ON
I want some wind,#FAN_ON
Get in some air,#FAN_ON
Im feeling sweaty,#FAN_ON
"Im feeling hot, give me some breeze",#FAN_ON
Please switch on the fan,#FAN_ON
Switch on the fan,#FAN_ON
On the fan,#FAN_ON
Turn on the fan,#FAN_ON
Get the fan,#FAN_ON
Blow some wind,#FAN_ON
Fan on please,#FAN_ON
Turn fan on,#FAN_ON
Fan on,#FAN_ON
Turn on the fan,#FAN_ON
Start the supply of electricity to fan,#FAN_ON
Fan,#FAN_ON
Shut on the fan,#FAN_ON
Put up the fan,#FAN_ON
Plug on the fan,#FAN_ON
Turn on the fan,#FAN_ON
I am feeling hot here,#FAN_ON
I need some cool air,#FAN_ON
Activate the fan,#FAN_ON
Start the fan,#FAN_ON
Cooldown the room,#FAN_ON
I want some air,#FAN_ON
Turn off the fan,#FAN_OFF
Stop the fan,#FAN_OFF
Turn the fan off,#FAN_OFF
Switch off the fan,#FAN_OFF
Im feeling cold,#FAN_OFF
Switch off the fan,#FAN_OFF
Please switch off the fan,#FAN_OFF
Switch off the fan,#FAN_OFF
Off the fan,#FAN_OFF
Put off the fan,#FAN_OFF
Turn off the fan,#FAN_OFF
Fans out,#FAN_OFF
